sample,cksum
weizmann_daria_bend_40-0-29.p,6213b2d67186390b14629d536d713de1
weizmann_daria_bend_40-30-59.p,4b3553f27b628e33252bd51172a5f925
weizmann_daria_jump_35-0-29.p,ab701fc34c104ede11fc57caee6cc275
weizmann_daria_jump_35-30-59.p,84aba7c32d93783d0561395df0d24e25
weizmann_daria_pjump_44-0-29.p,5e71897e8d95cd355fc66f2d07d7d3f1
weizmann_daria_pjump_44-30-59.p,0a36a3c1ebb7ae49277f0b7d3a17857a
weizmann_daria_run_57-0-29.p,05a29b283b36bbdf1d2570228ef52523
weizmann_daria_standing_40-60-83.p,e68d200e14e3fe0083e9a6f753043f88
weizmann_daria_walk_29-0-29.p,f52d1125cb59857e5b4b72d699208402
weizmann_daria_walk_29-30-59.p,96d2d78411e621dbbd21a008fefb29bf
weizmann_daria_walk_29-60-83.p,d08c010d5c81376d6bb092d41b231ca5
weizmann_daria_wave1_53-0-29.p,50b0c093e418c335bd8d1841d596b788
weizmann_daria_wave1_53-30-59.p,78144f246b5739d9a3efb9ea9d0da175
weizmann_daria_wave1_53-60-81.p,d5145453b76daeacf0e46ef5e42d5950
weizmann_daria_wave2_3-0-29.p,6a271d6581b4f7796e52a8bb0ceffb68
weizmann_daria_wave2_3-30-59.p,4de8f7bcc1ef19d0c8d08d334da57257
weizmann_daria_wave2_3-60-80.p,0693ab5c152cb078fe88bec25ba99cbf
weizmann_denis_bend_5-0-29.p,454aa9693328d2c2b75a084e9a361f63
weizmann_denis_bend_5-30-59.p,9264a25943d5597b066401e4e9fa9732
weizmann_denis_jump_43-0-29.p,c62bef656e54ed02c6a4bdcf6b856130
weizmann_denis_jump_43-30-59.p,bd4c2416905e550db3f4c119e4cee25a
weizmann_denis_pjump_12-0-29.p,2f869508eff134391e04f9f33cfe1ced
weizmann_denis_pjump_12-30-53.p,1cfbc6587e9f01365b6216fa8848cf14
weizmann_denis_run_54-0-29.p,9c1468bac7c00e8152660b5ea015d26c
weizmann_denis_standing_5-60-84.p,421b5dcb71e685ed729175d3b3d1a556
weizmann_denis_walk_45-0-29.p,49e63aa40b56ec2bf9d73a359a0ff2d2
weizmann_denis_walk_45-30-59.p,ddcd006bd69e86fca29cb6baf6f0ce5f
weizmann_denis_wave1_55-0-29.p,463f215e821a6795af2a8aad4c913874
weizmann_denis_wave1_55-30-59.p,5df90de80a59d3b2aadd275cd700690f
weizmann_denis_wave2_0-0-29.p,4f8906471fc4574fbace1248ac46506b
weizmann_denis_wave2_0-30-50.p,29c9b15c5bdb91e975194d77b8d7c475
weizmann_eli_bend_11-0-29.p,02fee58d3bcbc5c04a389e5841763f7c
weizmann_eli_bend_11-30-59.p,3eca3c7bbbc028e145ddc1403c2e5eab
weizmann_eli_jump_18-0-29.p,125683bd3e7c53d94da82b2911071946
weizmann_eli_pjump_26-0-29.p,784d42969b5e8be94dd23023eb02470d
weizmann_eli_run_8-0-29.p,75c8d9c064eee23720f37e299bbe242e
weizmann_eli_walk_36-0-29.p,59dba3f3500a3912c0a7faf0b448597c
weizmann_eli_walk_36-30-59.p,6afe9dfadeb87717360374da87966dac
weizmann_eli_wave1_15-0-29.p,047059ad7468b362b2b9e95f794942ae
weizmann_eli_wave1_15-30-59.p,3bc45bb46777158124030a019bd55614
weizmann_eli_wave1_15-60-89.p,faca4f81c6baff29147599ab3a293d9a
weizmann_eli_wave1_15-90-119.p,012bbe87d8ccfe57940be7800da1b5f1
weizmann_eli_wave2_20-0-29.p,580d324b3ca30b2b7c5f92f59268342b
weizmann_eli_wave2_20-30-53.p,c58a8b17d3453537ff97162e1b355e78
weizmann_ido_bend_37-0-29.p,45075e99915ab5dee98a95bec41b7d52
weizmann_ido_bend_37-30-59.p,94ccef7bbf741c483b31f6eaa25fbeba
weizmann_ido_jump_24-0-29.p,ef2e9a7c1161571188a92f12c2bcf0e4
weizmann_ido_pjump_22-0-29.p,c12f86052cfa31d548af8e90817f22b9
weizmann_ido_run_48-0-29.p,374a0df9f052bb2ee3f6c04cfb7272ff
weizmann_ido_walk_58-0-29.p,81701083feb284d9e8b3b2adca21e417
weizmann_ido_wave1_30-0-29.p,3dc2a9e6364c62eb0a0ad778d0027f28
weizmann_ido_wave1_30-30-54.p,c3ca9fd3e980a86c7e58e730111eadf5
weizmann_ido_wave2_56-0-29.p,f5976ca034d99171accf9c3a8d12e55a
weizmann_ido_wave2_56-30-59.p,aa969682233e0cc350af9be75589802b
weizmann_ira_bend_42-0-29.p,4e29b9015fd6cc530bb5c821a01eaaff
weizmann_ira_bend_42-30-59.p,1e75197ade703d32442e7482fbb1d34a
weizmann_ira_bend_42-60-89.p,782fab3788f2eee68ad73b4ef687111b
weizmann_ira_jump_28-0-29.p,cd8addaaa9ec0e91acd3167cdb63f538
weizmann_ira_jump_28-30-59.p,3a494debd827dca36fbe47dcb0f719ed
weizmann_ira_pjump_13-0-29.p,caf20114fd1b3d3d569ff827689e8db1
weizmann_ira_pjump_13-30-59.p,e1f4820d9e7c553dd1089922224c1c79
weizmann_ira_pjump_13-60-89.p,4913f40678ce313234f3d8c7b439063d
weizmann_ira_pjump_13-90-119.p,c1a185af274867653f7695d6556eeafc
weizmann_ira_run_38-0-29.p,cc2516f4da3c077c0a62439b44198c35
weizmann_ira_run_38-30-55.p,3b50d1bced853e36b15dab8be73650da
weizmann_ira_walk_46-0-29.p,e3f90387b8d2e197edc83c9242069dec
weizmann_ira_walk_46-30-59.p,7b4197aa332bebe35f2fadff29213831
weizmann_ira_walk_46-60-87.p,baac5090c36ad8ddcd13f45f75155de4
weizmann_ira_wave1_10-0-29.p,388bfe12620755bfdec41790455ff5e5
weizmann_ira_wave1_10-30-59.p,fa2bd60fad322cfb0c5bb0ceef7bccd8
weizmann_ira_wave1_10-60-89.p,614eb5e36c87253f55d6d48d797f61cb
weizmann_ira_wave2_2-0-29.p,4be393b962fcf0139e8f8d1c8c18bc0f
weizmann_ira_wave2_2-30-59.p,56708b945d4f8f50383aef0b092ceb9d
weizmann_ira_wave2_2-60-89.p,c6cd919f3df0493247fa9055d7e8e85b
weizmann_ira_wave2_2-90-113.p,1ad8e6b279e17bdc40f8b9131a3315ca
weizmann_lena_bend_21-0-29.p,d686332a2f1b24f1b441174dd1c2a9cb
weizmann_lena_bend_21-30-59.p,325630ac2800d0bb91f5bc8d359d26c3
weizmann_lena_jump_6-0-29.p,55ca3b8daa0eb5a494814358372c4cf5
weizmann_lena_pjump_31-0-29.p,d58a6e7e885c2ad1e3844f0dc2871317
weizmann_lena_wave1_16-0-29.p,1dcb36faa55dbd9b56a35057d74318cf
weizmann_lena_wave1_16-30-52.p,6128c0f46faa4a1ac0286c29b6cd956e
weizmann_lena_wave2_60-0-29.p,1f9cfe607b04fbb978c53fadc38a8b08
weizmann_lena_wave2_60-30-59.p,003884686f1091a77a0f76e284f952ff
weizmann_lyova_bend_14-0-29.p,46fd46dba033e74f62aaa0c4de43efb5
weizmann_lyova_bend_14-30-59.p,a2d07e6a4e92c8cb72d935c0dd01ee22
weizmann_lyova_jump_27-0-29.p,1fc08fce13b8b841cc9862703f4d4f0a
weizmann_lyova_pjump_23-0-29.p,3c72773dacf3a2000b223ad0a396df4b
weizmann_lyova_pjump_23-30-54.p,b6dfd1bd5ae3698f7a1579b4e3731f5b
weizmann_lyova_run_19-0-29.p,4b28fe3cb429a1481c9aaca14061da4a
weizmann_lyova_walk_17-0-29.p,b42fb085e899d4f924fd51950905b200
weizmann_lyova_walk_17-30-49.p,428e7e55beb0e6c6cb7bb4eb59d699e7
weizmann_lyova_wave1_1-0-29.p,facb064693e754eec8317f8151174e8e
weizmann_lyova_wave1_1-30-53.p,ef57f1c1edf4cb64adcefbebea44b310
weizmann_lyova_wave2_59-0-29.p,9e6774acc4668ca8249a43b307e5faa6
weizmann_lyova_wave2_59-30-56.p,988debfe6db391d68d3aa0f4966ff8af
weizmann_moshe_bend_7-0-29.p,bc2de658e3ed779d17f1d76205ec12bc
weizmann_moshe_bend_7-30-59.p,9eeb06424c679fed24d3a7dda5c5baf2
weizmann_moshe_jump_39-0-29.p,a921b1ae9ebe050d4a045f04b805a7fe
weizmann_moshe_pjump_52-0-29.p,24b536045dacde92f9b9039aa06b78e6
weizmann_moshe_run_51-0-29.p,86b244076c6263645bb6da80c10c6380
weizmann_moshe_walk_32-0-29.p,5cb9f2101be4e3427745f97cdc8251d5
weizmann_moshe_walk_32-30-59.p,ba5f4749f50e7d928d13d4f7c7c1fb60
weizmann_moshe_wave1_49-0-29.p,59565821d7f0cf80ef0ba9654d111dcc
weizmann_moshe_wave1_49-30-59.p,15a9f8e269338e32633fefb9bd66e21c
weizmann_moshe_wave2_47-0-29.p,6250e70a9dca7a4320aed971f11ec228
weizmann_moshe_wave2_47-30-59.p,94ed4a49710d91cda0bbcfc1b4d5ab0a
weizmann_shahar_bend_33-0-29.p,ac7ef1f5be97b8c1ce899727402c5583
weizmann_shahar_bend_33-30-59.p,b9c82539e30795ed5046e565febb71fe
weizmann_shahar_jump_4-0-29.p,3b204c1923655bae7ab0d3d09269217f
weizmann_shahar_pjump_50-0-29.p,5ff55409c44ebb9dc06c8b9c16927ed6
weizmann_shahar_pjump_50-30-55.p,796b2d79b8508a373d130ea9379f2060
weizmann_shahar_run_41-0-29.p,0137d7162dea2ed62d0b9d114067caf5
weizmann_shahar_walk_9-0-29.p,1631cb46bf8ff143f645b796f5db3afc
weizmann_shahar_walk_9-30-59.p,eb3600e0f731c5e5b3468593a8dec6b8
weizmann_shahar_walk_9-60-82.p,2befd4048fee0f4278f5ec65957bbe2a
weizmann_shahar_wave1_25-0-29.p,f828b37d90193d068f19327a061a90b4
weizmann_shahar_wave1_25-30-59.p,94dbf215f1c9aa74e1b32d9f267755fb
weizmann_shahar_wave2_34-0-29.p,2d2cbcbdea82117e6246411f81f03c19
weizmann_shahar_wave2_34-30-58.p,fa9a5ba6b6dcf3cc0f25748510d2c2ca
